Subject,Session,Round,Word,Points,Cumulative Score
77,1,1,frog,4,4
77,1,1,apple,2,6
77,1,1,girl,5,11
77,1,1,bus,3,14
77,1,1,music,4,18
77,1,1,wash,9,27
77,1,1,bag,3,30
77,1,1,crab,2,32
77,1,1,owl,7,39
77,1,1,luck,6,33
77,1,1,smile,8,25
77,1,1,drink,1,24
77,1,2,skate,2,26
77,1,2,oven,3,29
77,1,2,stick,3,26
77,1,2,bowl,4,22
77,1,2,mud,2,20
77,1,2,pool,3,17
77,1,2,door,2,15
77,1,2,snake,2,13
77,1,2,green,4,9
77,1,2,bird,3,6
77,1,2,club,2,4
77,1,2,tent,4,0
77,1,3,uncle,0,0
77,1,3,petal,0,0
77,1,3,dad,0,0
77,1,3,lion,0,0
77,1,3,skull,0,0
77,1,3,straw,0,0
77,1,3,cheek,0,0
77,1,3,tool,0,0
77,1,3,park,0,0
77,1,3,egg,0,0
77,1,3,home,0,0
77,1,3,juice,0,0
77,1,4,honey,1,1
77,1,4,plate,1,2
77,1,4,mouse,1,3
77,1,4,grill,1,4
77,1,4,fork,1,5
77,1,4,aunt,1,6
77,1,4,snow,1,7
77,1,4,knee,1,6
77,1,4,metal,1,5
77,1,4,fence,1,4
77,1,4,movie,1,3
77,1,4,rifle,1,2
